# created by LinkChecker at 2025-08-26 22:25:43+002
# Read the documentation at https://linkchecker.github.io/linkchecker/
# Write comments and bugs to https://github.com/linkchecker/linkchecker/issues
urlname;parentname;base;result;warningstring;infostring;valid;url;line;column;name;dltime;size;checktime;cached;level;modified
/getting_started;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/getting_started/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/;70;11;Getting started;4.57763671875e-05;17298;1.1264147758483887;0;1;
/documentation;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/documentation/' status: 301 Moved Permanently.;;True;http://localhost:4000/documentation/;74;11;Documentation;4.124641418457031e-05;9741;2.892242908477783;0;1;
/support;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/support/' status: 301 Moved Permanently.;;True;http://localhost:4000/support/;78;11;Support;4.220008850097656e-05;9066;3.9440109729766846;0;1;
/workshop;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/workshop/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/;82;11;Workshops;3.790855407714844e-05;15216;4.0715789794921875;0;1;
/development;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/development/' status: 301 Moved Permanently.;;True;http://localhost:4000/development/;86;11;Development;4.291534423828125e-05;9271;4.29396915435791;0;1;
/download;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/download/' status: 301 Moved Permanently.;;True;http://localhost:4000/download/;90;11;Download;3.695487976074219e-05;11448;4.493626117706299;0;1;
/about;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/about/' status: 301 Moved Permanently.;;True;http://localhost:4000/about/;94;11;About;3.886222839355469e-05;11942;4.244194030761719;0;1;
/tutorial;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/tutorial/' status: 301 Moved Permanently.;;True;http://localhost:4000/tutorial/;140;106;tutorials;5.3882598876953125e-05;16656;3.9853808879852295;0;1;
/development/git;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/development/git/' status: 301 Moved Permanently.;;True;http://localhost:4000/development/git/;146;67;GitHub;9.679794311523438e-05;40612;3.942965030670166;0;1;
/workshop/toolkit2025;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/workshop/toolkit2025/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/toolkit2025/;213;21;MEG/EEG toolkit last week;5.0067901611328125e-05;32356;4.202075242996216;0;1;
/workshop/nigeria2025;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/workshop/nigeria2025/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/nigeria2025/;213;548;EEG workshop in Nigeria;7.104873657226562e-05;33895;4.094069004058838;0;1;
/tutorial/source/headmodel_eeg_bem;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/tutorial/source/headmodel_eeg_bem/' status: 301 Moved Permanently.;;True;http://localhost:4000/tutorial/source/headmodel_eeg_bem/;246;66;BEM;9.822845458984375e-05;124146;4.236703157424927;0;1;
/tutorial/source/headmodel_eeg_fem;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/tutorial/source/headmodel_eeg_fem/' status: 301 Moved Permanently.;;True;http://localhost:4000/tutorial/source/headmodel_eeg_fem/;246;123;FEM;0.00011205673217773438;106959;3.8288979530334473;0;1;
/privacy;http://localhost:4000;;200 OK;Redirected to `http://localhost:4000/privacy/' status: 301 Moved Permanently.;;True;http://localhost:4000/privacy/;337;154;Privacy;3.2901763916015625e-05;14050;3.3377768993377686;0;1;
